Title,Authors,Abstract,Published_Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,Notes,Tags
Microgravity mediated changes in phytoferritin accumulation in soybean root cap cells.,"Klymchuk, D O; Kordyum, E L; Vorobyova, T V; Brown, C S; Chapman, D K","Phytoferritin is an iron-protein complex analogous to the ferritin found in mammalian, bacteria and fungi cells. Phytoferritin molecules are large proteins, about 10.5 nm in diameter, visualised in an electron microscope as discrete, electron dense particles with iron-containing core, where several thousand atoms of iron lie within the proteinaceous shell (apoferritin). In higher plants, a plastid stroma is the site of phytoferritin storage. Phytoferritin is seen in all types of plastids. It is considered to be a mechanism used by cells to store iron in a non-toxic form. Phytoferritin-bound iron may subsequently be used to form iron-containing components. It was shown that low levels of phytoferritin are synthesised in normal green leaves, whereas chlorotic leaves do not have a measurable amount of phytoferritin and leaves of iron-loaded seedlings contain a high level of total iron, and phytoferritin well-filled by iron. Phytoferritin accumulation was observed in photosynthetic inactivity chloroplasts during senescence and disease. In this study we analised the effects of microgravity and ethylene on production of phytoferritin in the root cap columella cells of soybean seedlings.",2000,/,Journal of gravitational physiology : a journal of the International Society for Gravitational Physiology,7,2,P79-80,,,12697564,#3730,Klymchuk 2000,,
A Novel Technique for High-Precision Ionospheric VTEC Estimation and Prediction at the Equatorial Ionization Anomaly Region: A Case Study over Haikou Station,"Wang, Hai-Ning; Zhu, Qing-Lin; Dong, Xiang; Sheng, Dong-Sheng; Zhi, Yong-Feng; Zhou, Chen; Xu, Bin","This paper introduces a novel technique that uses observation data from GNSS to estimate the ionospheric vertical total electron content (VTEC) using the Kriging-Kalman method. The technique provides a method to validate the accuracy of the Ionospheric VTEC analysis within the Equatorial Ionization anomaly region. The technique developed uses GNSS VTEC alongside solar parameters, such as solar radio flux (F10.7 cm), Disturbance Storm Time (Dst) and other data, and Long Short Term Memory (LSTM) Networks to predict the occurrence time of the ionospheric equatorial anomaly and ionospheric VTEC changes. The LSTM method was applied to GNSS data from Haikou Station. A comparison of this technique with the neural network (NN) model and International Reference Ionosphere model shows that the LSTM outperforms all of them at VTEC estimation and prediction. The results, which are based on the root mean square error (RMSE) between GNSS VTEC and GIM VTEC outside the equatorial anomaly region, was 1.42 TECU, and the results of GNSS VTEC and VTEC from Beidou geostationary orbit satellite, which lies inside the equatorial ionization anomaly region, was 1.92 TECU. The method developed can be used in VTEC prediction and estimation in real time space operations.",2023,,REMOTE SENSING,15,13,,WOS:001028555500001,10.3390/rs15133394,,#9423,Wang 2023,,
Increased diversification rates are coupled with higher rates of climate space exploration in Australian <i>Acacia</i> (Caesalpinioideae),"Renner, Matt A. M.; Foster, Charles S. P.; Miller, Joseph T.; Murphy, Daniel J.","Australia is an excellent setting to explore relationships between climate change and diversification dynamics. Aridification since the Eocene has resulted in spectacular radiations within one or more Australian biomes. Acacia is the largest plant genus on the Australian continent, with around 1000 species, and is present in all biomes. We investigated the macroevolutionary dynamics of Acacia within climate space. We analysed phylogenetic and climatic data for 503 Acacia species to estimate a time-calibrated phylogeny and central climatic tendencies for BioClim layers from 132 000 herbarium specimens. Diversification rate heterogeneity and rates of climate space exploration were tested. We inferred two diversification rate increases, both associated with significantly higher rates of climate space exploration. Observed spikes in climate disparity within the Pleistocene correspond with onset of Pleistocene glacial-interglacial cycling. Positive time dependency in environmental disparity applies in the basal grade of Acacia, though climate space exploration rates were lower. Incongruence between rates of climate space exploration and disparity suggests different Acacia lineages have experienced different macroevolutionary processes. The second diversification rate increase is associated with a south-east Australian mesic lineage, suggesting adaptations to progressively aridifying environments and ability to transition into mesic environments contributed to Acacia's dominance across Australia.",2020,,NEW PHYTOLOGIST,226,2,609-622,WOS:000507612200001,10.1111/nph.16349,,#12766,Renner 2020,,
A neurophysiological training evaluation metric for Air Traffic Management,"IEEE; Borghini, G.; Arico, P.; Ferri, F.; Graziani, I.; Pozzi, S.; Napoletano, L.; Imbert, J. P.; Granger, G.; Benhacene, R.; Babiloni, F.","The aim of this work was to analyze the possibility to apply a neuroelectrical cognitive metrics for the evaluation of the training level of subjects during the learning of a task employed by Air Traffic Controllers (ATCos). In particular, the Electroencephalogram (EEG), the Electrocardiogram (ECG) and the Electrooculogram (EOG) signals were gathered from a group of students during the execution of an Air Traffic Management (ATM) task, proposed at three different levels of difficulty. The neuroelectrical results were compared with the subjective perception of the task difficulty obtained by the NASA-TLX questionnaires. From these analyses, we suggest that the integration of information derived from the power spectral density (PSD) of the EEG signals, the heart rate (HR) and the eye-blink rate (EBR) return important quantitative information about the training level of the subjects. In particular, by focusing the analysis on the direct and inverse correlation of the frontal PSD theta (4 - 7 (Hz)) and HR, and of the parietal PSD alpha (10-12 (Hz)) and EBR, respectively, with the degree of mental and emotive engagement, it is possible to obtain useful information about the training improvement across the training sessions.",2014,,2014 36TH ANNUAL INTERNATIONAL CONFERENCE OF THE IEEE ENGINEERING IN MEDICINE AND BIOLOGY SOCIETY (EMBC),,,3005-3008,WOS:000350044702246,,,#12860,IEEE 2014,,
Design of untethered soft material micromachine for life-like locomotion,"Wang, Xiao-Qiao; Ho, Ghim Wei","Living organisms composed of composite materials with complex structures support autonomous and intelligent behaviors, such as motility, perception and response to changes of the environment. By studying the biological structures and their environmental interactions, researchers are now using these natural systems as models for building soft material machines. In this review, we discuss materials and machine engineering principles to achieve life-like locomotion and functionalities in untethered soft micromachines. Through the various mechanochemical or physical mechanisms, we show how molecular motion can be collectively amplified into versatile macroscopic deformation by materials engineering across multiple length scales. In controlled ways, mobile micromachines are made to crawl, roll or jump and adaptive to various terrains, typically inspired by the terrestrial animals while propulsion of swimming micromachines are guided by aquatic organisms. Besides, outof-equilibrium behaviors of living systems, such as cell cycling, have stimulated the design of autonomous movement. Furthermore, we review the recent efforts on robotic locomotion intelligence to achieve adaptive, functional locomotion and navigation in complex environment. We finally provide a critical perspective for the field of soft micromachines, and highlight the key challenges of different material systems that need to be overcome to realize practical use.",2022,,MATERIALS TODAY,53,,197-216,WOS:000796538100004,10.1016/j.mattod.2022.01.014,,#12055,Wang 2022,,
Effects of Low Dose Space Radiation Exposures on the Splenic Metabolome,"Laiakis, Evagelia C.; Shuryak, Igor; Deziel, Annabella; Wang, Yi-Wen; Barnette, Brooke L.; Yu, Yongjia; Ullrich, Robert L.; Fornace, Albert J., Jr.; Emmett, Mark R.","Future space missions will include a return to the Moon and long duration deep space roundtrip missions to Mars. Leaving the protection that Low Earth Orbit provides will unavoidably expose astronauts to higher cumulative doses of space radiation, in addition to other stressors, e.g., microgravity. Immune regulation is known to be impacted by both radiation and spaceflight and it remains to be seen whether prolonged effects that will be encountered in deep space can have an adverse impact on health. In this study, we investigated the effects in the overall metabolism of three different low dose radiation exposures (gamma-rays, O-16, and Fe-56) in spleens from male C57BL/6 mice at 1, 2, and 4 months after exposure. Forty metabolites were identified with significant enrichment in purine metabolism, tricarboxylic acid cycle, fatty acids, acylcarnitines, and amino acids. Early perturbations were more prominent in the gamma irradiated samples, while later responses shifted towards more prominent responses in groups with high energy particle irradiations. Regression analysis showed a positive correlation of the abundance of identified fatty acids with time and a negative association with gamma-rays, while the degradation pathway of purines was positively associated with time. Taken together, there is a strong suggestion of mitochondrial implication and the possibility of long-term effects on DNA repair and nucleotide pools following radiation exposure.",2021,,INTERNATIONAL JOURNAL OF MOLECULAR SCIENCES,22,6,,WOS:000645814500001,10.3390/ijms22063070,,#11021,Laiakis 2021,,Animal
Classification of cell morphology with quantitative phase microscopy and machine learning.,"Li, Ying; Di, Jianglei; Wang, Kaiqiang; Wang, Sufang; Zhao, Jianlin","We describe and compare two machine learning approaches for cell classification based on label-free quantitative phase imaging with transport of intensity equation methods. In one approach, we design a multilevel integrated machine learning classifier including various individual models such as artificial neural network, extreme learning machine and generalized logistic regression. In another approach, we apply a pretrained convolutional neural network using transfer learning for the classification. As a validation, we show the performances of both approaches on classification between macrophages cultured in normal gravity and microgravity with quantitative phase imaging. The multilevel integrated classifier achieves average accuracy 93.1%, which is comparable to the average accuracy 93.5% obtained by convolutional neural network. The presented quantitative phase imaging system with two classification approaches could be helpful to biomedical scientists for easy and accurate cell analysis.",2020,/,Optics express,28,16,23916-23927,,https://dx.doi.org/10.1364/OE.397029,32752380,#1214,Li 2020,,
A brief overview of modern directions in marine DOC studies part II--recent progress in marine DOC studies.,"Dafne-, Evgeny V; Wangersky, Peter J","Progress made in analytical techniques allows the formulation of new concepts in the biogeochemistry of organic carbon. The second part of our review summarizes the latest evolution and introduces new ideas in the biogeochemistry of marine dissolved organic carbon (DOC). Via classification of different fractions and sources of DOC, characterization of its composition, age and availability for bacterial utilization, and fate of DOC, we show the role of DOC in the global carbon cycle and the significance of bulk DOC in the oceans. Special emphasis is placed on the microbial loop in the cycling of DOC and its relation with higher trophic levels (phytoplankton and zooplankton). Significant progress has also been made in the study of the roles of colloidal organic material in metal complexation, ultraviolet radiation in dissolved organic matter photochemical oxidation, and chromophore-containing constituents of DOC as the signature of DOC for satellite observations. The importance of bulk DOC in the global carbon cycle requires the inclusion of this fraction in the regional and global carbon models. We predict that future DOC study in the ocean will focus on the development of sophisticated, almost continuously recording, moored DOC instrument arrays for the monitoring of small-scale DOC horizontal and vertical patchiness; widespread time series stations including estuarine, coastal and open environments; more detailed chemical characterization of different fractions of organic carbon from diverse marine habitats; parameterization of predictive models of DOC cycling on regional and global scales, incorporating the microbial loop; and finally, monitoring of DOC dynamics from satellites on regional and global scales.",2002,/,Journal of environmental monitoring : JEM,4,1,55-69,,,11871710,#3596,Dafne- 2002,,
Changes in Higher-Order Chromosomal Structure of Klebsiella pneumoniae Under Simulated Microgravity.,"Wang, Yahao; Shen, Wenlong; Yin, Man; Huang, Wenhua; Ye, Bingyu; Li, Ping; Shi, Shu; Bai, Ge; Guo, Xinjie; Jin, Yifei; Lin, Kailin; Zhang, Yan; Jiang, Yongqiang; Wang, Junfeng; Han, Yanping; Zhao, Zhihu","Our previous work have shown that certain subpopulations of Klebsiella pneumoniae exhibit significant phenotypic changes under simulated microgravity (SMG), including enhanced biofilm formation and cellulose synthesis, which may be evoked by changes in gene expression patterns. It is well known that prokaryotic cells genomic DNA can be hierarchically organized into different higher-order three-dimensional structures, which can highly influence gene expression. It is remain elusive whether phenotypic changes induced by SMG in the subpopulations of K. pneumoniae are driven by genome higher-order structural changes. Here, we investigated the above-mentioned issue using the wild-type (WT) K. pneumoniae (WT was used as a control strain and continuously cultivated for 2 weeks under standard culture conditions of normal gravity) and two previous identified subpopulations (M1 and M2) obtained after 2 weeks of continuous incubation in a SMG device. By the combination of genome-wide chromosome conformation capture (Hi-C), RNA-seq and whole-genome methylation (WGS) analyses, we found that the along with the global chromosome interactions change, the compacting extent of M1, M2 subpopulations were much looser under SMG and even with an increase in active, open chromosome regions. In addition, transcriptome data showed that most differentially expressed genes (DEGs) were upregulated, whereas a few DEGs were downregulated in M1 and M2. The functions of both types DEGs were mainly associated with membrane fractions. Additionally, WGS analysis revealed that methylation levels were lower in M1 and M2. Using combined analysis of multi-omics data, we discovered that most upregulated DEGs were significantly enriched in the boundary regions of the variable chromosomal interaction domains (CIDs), in which genes regulating biofilm formation were mainly located. These results suggest that K. pneumoniae may regulate gene expression patterns through DNA methylation and changes in genome structure, thus resulting in new phenotypes in response to altered gravity. Copyright © 2022 Wang, Shen, Yin, Huang, Ye, Li, Shi, Bai, Guo, Jin, Lin, Zhang, Jiang, Wang, Han and Zhao.",2022,/,Frontiers in microbiology,13,101548977,879321,,https://dx.doi.org/10.3389/fmicb.2022.879321,35711756,#388,Wang 2022,,
Drug discovery and development: the final frontier,"Greener, M.","Space offers a unique environment for studying disease processes, as well as for drug discovery and development. Mark Greener discusses how research conducted in microgravity in space is allowing medicine to boldly go where it has never gone before.",2020,,Prescriber,31,2,18-22,,10.1002/psb.1823,,#4802,Greener 2020,,
Grand challenges in space synthetic biology,"Menezes, Amor A.; Montague, Michael G.; Cumbers, John; Hogan, John A.; Arkin, Adam P.","Space synthetic biology is a branch of biotechnology dedicated to engineering biological systems for space exploration, industry and science. There is significant public and private interest in designing robust and reliable organisms that can assist on long-duration astronaut missions. Recent work has also demonstrated that such synthetic biology is a feasible payload minimization and life support approach as well. This article identifies the challenges and opportunities that lie ahead in the field of space synthetic biology, while highlighting relevant progress. It also outlines anticipated broader benefits from this field, because space engineering advances will drive technological innovation on Earth.",2015,,JOURNAL OF THE ROYAL SOCIETY INTERFACE,12,113,,WOS:000367807000009,10.1098/rsif.2015.0803,,#12442,Menezes 2015,,
Iron flux inside the International Space Station is measured to be lower than predicted,"Narici, L.; Casolino, M.; Di Fino, L.; Larosa, M.; Larsson, O.; Picozza, P.; Zaconte, V.","Iron abundance in cosmic rays impinging on astronauts in space habitats is of paramount importance when calculating the radiation risk for human space exploration. The concurrent high relative abundance of iron in Galactic Cosmic Rays (GCR) and iron ability to produce damages at cellular and molecular levels, together with recent radiobiology results suggests iron as a major candidate to be studied in order to produce accurate radiation hazard assessments. Iron may be in fact responsible for a large percentage of cancer risk during a long interplanetary voyage, and therefore deserves a specific attention. We built a simple model based on CREME96 for the radiation in the International Space Station (ISS) and tested it against recently performed measurements with the ALTEA and Alteino particle detectors. While we can report a good agreement between 50m and 250 keV/mu m (very good for several peaks such as Si, Mg, S) we show an overestimation by this model of iron abundances of about 25-80% when compared to the measurements. New analysis on previously published work, supporting this result, are also reported.Reasons for this overestimation are discussed, they are likely to be related to the not detailed enough transport through the multiplicity of the ISS shielding and to the often used simplification of ""aluminum equivalent shielding"". The iron sources in LEO, possibly not yet accurate enough when transported in Low Earth Orbit, can also play a role. New concurrent measurements (inside outside the ISS) are suggested to help resolving this issue. (C) 2012 Elsevier Ltd. All rights reserved.",2012,,RADIATION MEASUREMENTS,47,10,1030-1034,WOS:000312174500020,10.1016/j.radmeas.2012.07.006,,#9428,Narici 2012,,
Astropharmacy: Pushing the boundaries of the pharmacists' role for sustainable space exploration.,"Sawyers, Luke; Anderson, Claire; Boyd, Matthew J; Hessel, Volker; Wotring, Virginia; Williams, Philip M; Toh, Li Shean","BACKGROUND: Human physiology undergoes extensive changes in space potentially leading to alterations in the way a medication functions. Understanding the efficacy behind Pharmacological Countermeasures (PCMs) and deliverable pharmacy services is imperative for the future presence of humans in space. However, while the pharmacist plays an integral role for human health terrestrially, pharmacist input has been minimal for human health in the space sector. Here, we explore the pharmacist's potential role in larger medical teams for future missions., OBJECTIVE: To explore pharmacy and space sector stakeholder perspectives regarding the pharmacist's role in the space sector., METHODS: Semi-structured interviews and focus groups were conducted with pharmacy (n = 31) and human health-related space sector stakeholders (n = 26) across the globe from governmental, commercial, industry and academic sectors. Purposive and snowball sampling were used to identify stakeholders. Interviews and focus groups were audio recorded, transcribed verbatim and thematically analysed., RESULTS: Three themes - medication management, medication-related research and medication and health information - were generated. The importance of medication optimisation within commercial and federal spaceflight participant medication regimens was cited as necessary for sustainable space exploration. Both groups advocated for pharmacists' involvement with in-situ medication manufacturing and medication-related research, particularly regarding space-based pharmacokinetic and pharmacodynamic drug profiling. Other essential roles included the pharmacist's role in providing medication information to spaceflight participants and other healthcare professionals on their health status and medication use risk in the context of space., CONCLUSIONS: With the advancement of accessible, commercial space travel and humans becoming an inter-planetary species, the opportunity to tackle PCM needs via a more extensive and comprehensive collaborative effort between the space, medical and pharmacy sectors is essential for sustainable space exploration. Copyright © 2022 Elsevier Inc. All rights reserved.",2022,/,Research in social & administrative pharmacy : RSAP,18,9,3612-3621,,https://dx.doi.org/10.1016/j.sapharm.2022.02.002,35183459,#926,Sawyers 2022,,
Multisource Fusion UAV Cluster Cooperative Positioning Using Information Geometry,"Tang, Chengkai; Wang, Yuyang; Zhang, Lingling; Zhang, Yi; Song, Houbing","Due to the functional limitations of a single UAV, UAV clusters have become an important part of smart cities, and the relative positioning between UAVs is the core difficulty in UAV cluster applications. Existing UAVs can be equipped with satellite navigation, radio navigation, and other positioning equipment, but in complex environments, such as urban canyons, various navigation sources cannot achieve full positioning information due to occlusion, interference, and other factors, and existing positioning fusion methods cannot meet the requirements of these environments. Therefore, demand exists for the real-time positioning of UAV clusters. Aiming to solve the above problems, this paper proposes multisource fusion UAV cluster cooperative positioning using information geometry (UCP-IG), which converts various types of navigation source information into information geometric probability models and reduces the impact of accidental errors, and proposes the Kullback-Leibler divergence minimization (KLM) fusion method to achieve rapid fusion on geometric manifolds and creatively solve the problem of difficult fusion caused by different positioning information formats and parameters. The method proposed in this paper is compared with the main synergistic methods, such as LS and neural networks, in an ideal scenario, a mutation error scenario, and a random motion scenario. The simulation results show that by using UAV cluster movement, the method proposed in this paper can effectively suppress mutation errors and achieve fast positioning.",2022,,REMOTE SENSING,14,21,,WOS:000882237100001,10.3390/rs14215491,,#11462,Tang 2022,,
A second life in science--working after the age of 65.,"Setlow, Richard B","I was born in January, 1921 and was fortunate in working for a research organization that had no fixed retirement age. I was permitted to continue Science as long as there were some resources to support research that had some relevance to the organization's goals. A number of projects on which I worked were continuations of ones begun before the age of 65 (1986) and several new ones were based on both previous interests and ideas and some on new ideas. A number of the ideas arose from participation on Committees of the US National Research Council. I was able to extend my earlier interests in DNA repair to include experiments on the variations in DNA repair among apparently normal humans. In collaborations with other researchers we showed that the repair abilities following exposures to chemicals or to ionizing or ultraviolet (UV) radiation did not follow Poisson distributions. I participated in experiments, using a fish model to estimate the wavelength ranges in sunlight responsible for inducing melanoma and another fish model to estimate the germ cell mutations that might arise from exposures to the heavily ionizing particles in cosmic rays beyond low Earth orbit. A transgenic fish model was used to investigate the possibilities of using the fish to assay for mutagens in sediments in Long Island Sound. These Reflections summarize the atmosphere necessary for a second life and the scientific results of this life.",2004,/,DNA repair,3,4,441-9,,,15010320,#3382,Setlow 2004,,
Alternative treatment for head pediculosis in confined environments and space travel.,"Farr, R Wesley",,2002,/,"Aviation, space, and environmental medicine",73,12,1242,,,12498557,#3539,Farr 2002,,
Enabling Clonal Analyses of Yeast in Outer Space by Encapsulation and Desiccation in Hollow Microparticles.,"Ng, Simon; Williamson, Cayden; van Zee, Mark; Di Carlo, Dino; Santa Maria, Sergio R","Studying microbes at the single-cell level in space can accelerate human space exploration both via the development of novel biotechnologies and via the understanding of cellular responses to space stressors and countermeasures. High-throughput technologies for screening natural and engineered cell populations can reveal cellular heterogeneity and identify high-performance cells. Here, we present a method to desiccate and preserve microbes in nanoliter-scale compartments, termed PicoShells, which are microparticles with a hollow inner cavity. In PicoShells, single cells are confined in an inner aqueous core by a porous hydrogel shell, allowing the diffusion of nutrients, wastes, and assay reagents for uninhibited cell growth and flexible assay protocols. Desiccated PicoShells offer analysis capabilities for single-cell derived colonies with a simple, low resource workflow, requiring only the addition of water to rehydrate hundreds of thousands of PicoShells and the single microbes encapsulated inside. Our desiccation method results in the recovery of desiccated microparticle morphology and porosity after a multi-week storage period and rehydration, with particle diameter and porosity metrics changing by less than 18% and 7%, respectively, compared to fresh microparticles. We also recorded the high viability of Saccharomyces cerevisiae yeast desiccated and rehydrated inside PicoShells, with only a 14% decrease in viability compared to non-desiccated yeast over 8.5 weeks, although we observed an 85% decrease in initial growth potential over the same duration. We show a proof-of-concept for a growth rate-based analysis of single-cell derived colonies in rehydrated PicoShells, where we identified 11% of the population that grows at an accelerated rate. Desiccated PicoShells thus provide a robust method for cell preservation before and during launch, promising a simple single-cell analysis method for studying heterogeneity in microbial populations in space.",2022,/,"Life (Basel, Switzerland)",12,8,,,https://dx.doi.org/10.3390/life12081168,36013347,#358,Ng 2022,,
"Regulation of Bone by Mechanical Loading, Sex Hormones, and Nerves: Integration of Such Regulatory Complexity and Implications for Bone Loss during Space Flight and Post-Menopausal Osteoporosis","Hart, D.A.","During evolution, the development of bone was critical for many species to thrive and function in the boundary conditions of Earth. Furthermore, bone also became a storehouse for calcium that could be mobilized for reproductive purposes in mammals and other species. The critical nature of bone for both function and reproductive needs during evolution in the context of the boundary conditions of Earth has led to complex regulatory mechanisms that require integration for optimization of this tissue across the lifespan. Three important regulatory variables include mechanical loading, sex hormones, and innervation/neuroregulation. The importance of mechanical loading has been the target of much research as bone appears to subscribe to the “use it or lose it” paradigm. Furthermore, because of the importance of post-menopausal osteoporosis in the risk for fractures and loss of function, this aspect of bone regulation has also focused research on sex differences in bone regulation. The advent of space flight and exposure to microgravity has also led to renewed interest in this unique environment, which could not have been anticipated by evolution, to expose new insights into bone regulation. Finally, a body of evidence has also emerged indicating that the neuroregulation of bone is also central to maintaining function. However, there is still more that is needed to understand regarding how such variables are integrated across the lifespan to maintain function, particularly in a species that walks upright. This review will attempt to discuss these regulatory elements for bone integrity and propose how further study is needed to delineate the details to better understand how to improve treatments for those at risk for loss of bone integrity, such as in the post-menopausal state or during prolonged space flight.",2023,,Biomolecules,13,7,,,10.3390/biom13071136,,#3870,Hart 2023,,
A review on the application of autonomous and intelligent robotic devices in medical rehabilitation,"Garcia-Gonzalez, Alejandro; Fuentes-Aguilar, Rita Q.; Salgado, Ivan; Chairez, Isaac","Robot-assisted rehabilitation is an exciting field which aims to incorporate relevant developments in robotics related to rehabilitation with the intention of defining new methodologies for intervening problems related to muscular, neuromuscular, and osseous diseases. In this study, a systematic and comprehensive literature analysis is conducted to identify the contribution of artificial intelligence applied on robotic devices for motor rehabilitation, highlighting its relation with the rehabilitation cycle, and clarifying the prospective research directions in the development of more autonomous rehabilitation procedures. Considering this main goal, a summarized definition of general rehabilitation techniques is established. Then, such definition is particularized for technological-aided rehabilitating medical treatments implementing artificial intelligence methods, identifying the sections included within the process and the associated interaction degrees. This generic definition is analyzed using the current literature in muscle-skeletal treatment robotics as reference framework. This analysis considers the components and sections included in rehabilitation sequence. This review also describes a more in-depth description of the principal categories for classifying therapeutic robotic devices, including descriptions of the main past and present outcomes for each class of medical robotics for rehabilitation. The existing challenges and open options to develop more efficient autonomous (with the application of diverse artificial intelligence approaches) rehabilitating procedures are discoursed. Besides, taking into account this comprehensive review, a sequence of technical requires which must be taken into consideration when designing, developing and implementing autonomous robotic devices aimed to contribute to rehabilitation medical systems are deliberated. A brief description of the application of artificial intelligence and autonomous medical rehabilitation treatment is analyzed in terms of the exciting technical challenges and the ethical compromises that such a treatment option implies.",2022,,JOURNAL OF THE BRAZILIAN SOCIETY OF MECHANICAL SCIENCES AND ENGINEERING,44,9,,WOS:000838683600005,10.1007/s40430-022-03692-8,,#11998,Garcia-Gonzalez 2022,,
"Application of diet-derived taste active components for clinical nutrition: perspectives from ancient Ayurvedic medical science, space medicine, and modern clinical nutrition.","Kulkarni, Anil D; Sundaresan, Alamelu; Rashid, Muhammad J; Yamamoto, Shigeru; Karkow, Francisco","The principal objective of this paper is to demonstrate the role of taste and flavor in health from the ancient science of Ayurveda to modern medicine; specifically their mechanisms and roles in space medicine and their clinical relevance in modern heath care. It also describes the brief history of the use of the monosodium glutamate or flavor enhancers (""Umami substance"") that improve the quality of food intake by stimulating chemosensory perception. In addition, the dietary nucleotides are known to be the components of ""Umami substance"" and the benefit of their use has been proposed in various types of patients with cancer, radiation therapy, organ transplantation, and for application in space medicine.",2014,/,Current pharmaceutical design,20,16,2791-6,,,23886389,#2299,Kulkarni 2014,,
What do we know about alteration in the osteoblast phenotype with microgravity?,"Vico, L.",,2006,,Journal of Musculoskeletal Neuronal Interactions,6,4,317-318,,,,#6483,Vico 2006,,
The next frontier: stem cells and the Center for the Advancement of Science in Space.,"Ratliff, Duane","The Center for the Advancement of Science in Space (CASIS) manages the International Space Station U.S. National Laboratory, supporting space-based research that seeks to improve life on Earth. The National Laboratory is now open for use by the broad scientific community--and CASIS is the gateway to this powerful in-orbit research platform.",2013,/,Stem cells and development,22 Suppl 1,101197107,94-5,,https://dx.doi.org/10.1089/scd.2013.0447,24304084,#2311,Ratliff 2013,,
Characterization of the survival ability of Cupriavidus metallidurans and Ralstonia pickettii from space-related environments.,"Mijnendonckx, K; Provoost, A; Ott, C M; Venkateswaran, K; Mahillon, J; Leys, N; Van Houdt, R","Four Cupriavidus metallidurans and eight Ralstonia pickettii isolates from the space industry and the International Space Station (ISS) were characterized in detail. Nine of the 12 isolates were able to form a biofilm on plastics and all were resistant to several antibiotics. R. pickettii isolates from the surface of the Mars Orbiter prior to flight were 2.5 times more resistant to UV-C(254nm) radiation compared to the R. pickettii type strain. All isolates showed moderate to high tolerance against at least seven different metal ions. They were tolerant to medium to high silver concentrations (0.5-4 muM), which are higher than the ionic silver disinfectant concentrations measured regularly in the drinking water aboard the ISS. Furthermore, all isolates survived a 23-month exposure to 2 muM AgNO(3) in drinking water. These resistance properties are putatively encoded by their endogenous megaplasmids. This study demonstrated that extreme resistance is not required to withstand the disinfection and sterilization procedures implemented in the ISS and space industry. All isolates acquired moderate to high tolerance against several stressors and can grow in oligotrophic conditions, enabling them to persist in these environments.",2013,/,Microbial ecology,65,2,347-60,,https://dx.doi.org/10.1007/s00248-012-0139-2,23212653,#2400,Mijnendonckx 2013,,
"A novel population balance model to investigate the kinetics of in vitro cell proliferation: part II. Numerical solution, parameters' determination, and model outcomes.","Fadda, Sarah; Cincotti, Alberto; Cao, Giacomo","Based on the general theoretical model developed in Part I of this work, a series of numerical simulations related to the in vitro proliferation kinetics of adherent cells is here presented. First the complex task of assigning a specific value to all the parameters of the proposed population balance (PB) model is addressed, by also highlighting the difficulties arising when performing proper comparisons with experimental data. Then, a parametric sensitivity analysis is performed, thus identifying the more relevant parameters from a kinetics perspective. The proposed PB model can be adapted to describe cell growth under various conditions, by properly changing the value of the adjustable parameters. For this reason, model parameters able to mimic cell culture behavior under microgravity conditions are identified by means of a suitable parametric sensitivity analysis. Specifically, it is found that, as the volume growth parameter is reduced, proliferation slows down while cells arrest in G0/G1 or G2/M depending on the initial distribution of cell population. On the basis of this result, model capabilities have been tested by means of a proper comparison with literature experimental data related to the behavior of synchronized and not-synchronized cells under micro- and standard gravity levels. Copyright © 2011 Wiley Periodicals, Inc.",2012,/,Biotechnology and bioengineering,109,3,782-96,,https://dx.doi.org/10.1002/bit.24350,22012749,#2631,Fadda 2012,,
Mitochondrial Respiration in <i>Drosophila</i> Ovaries after a Full Cycle of Oogenesis under Simulated Microgravity,"Ogneva, Irina, V; Usik, Maria A.","Studies of the function of the female reproductive system in zero gravity are urgent for the future exploration of deep space. Female reproductive cells, oocytes, are rich in mitochondria, which allow oocytes to produce embryos. The rate of cellular respiration was determined to assess the functional state of the mitochondrial apparatus in Drosophila melanogaster ovaries in which the full cycle of oogenesis took place under simulated microgravity. Since cellular respiration depends on the state of the cytoskeleton, the contents of the main cytoskeletal proteins were determined by Western blotting. To modulate the structure of the cytoskeleton, essential phospholipids were administered per os at a dosage of 500 mg/kg in medium. The results of this study show that after a full cycle of oogenesis under simulated microgravity, the rate of cellular respiration in the fruit fly ovaries increases, apparently due to complex II of the respiratory chain. At the same time, we did not find any changes in the area of oocytes or in the content of proteins in the respiratory chain. However, changes were found in the relative contents of proteins of the actin cytoskeleton. There were no changes of essential phospholipids and no increase in the rate of cellular respiration of the ovaries after exposure to simulated microgravity. However, in the control, the administration of essential phospholipids led to a decrease in the efficiency of oxygen consumption in the flies' ovaries due to complexes IV-V.",2021,,CURRENT ISSUES IN MOLECULAR BIOLOGY,43,1,176-186,WOS:000667739800015,10.3390/cimb43010015,,#16554,Ogneva 2021,,
